#RA				DEC				ID			
#cosmos2020
150.23735 		2.33814			972923
150.23987 		2.33645			970358
150.23701 		2.33571			970128
150.2398461 	2.3364571		970358
150.431917 		2.802611		1452625
149.98145 		2.2532			877661
150.07600 		2.2118277		832735
149.7998823 	2.3883955		1024221
150.331442 		2.162369		777178
150.278342 		2.258817		884363
149.877179 		2.283875		911594
